# 跨数据集汇总的信号装帧映射表，用于查看每个信号实例被打包到哪个 CANFD 帧。
# 同一 code 在 foundation / baseline1 中可能出现多次，对应新增副本或同源备份。
# baseline2 不新增副本，因此通常每个 code 只有 1 条映射记录。

[signal_frame_mapping]
dataset	scheme	code	message_id	signal_instance_index	signal_instance_count	is_added_copy	frame_id	frame_priority	frame_period_ms	frame_deadline_ms	frame_offset_ms	frame_trans_time_ms	frame_payload_bytes	frame_message_count	signal_period_ms	signal_deadline_ms	asil	level	type	src_ecu	dst_ecu
E12S200_12ecu_200signals_001	foundation	1474991194	95	1	1	0	189	119	20	20	0	0.039600000000000003	1	2	20	20	A	0	0	7	4
E12S200_12ecu_200signals_001	foundation	1477505930	94	1	1	0	174	64	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	4	5
E12S200_12ecu_200signals_001	foundation	1495832800	105	1	1	0	146	186	1000	1000	0	0.039600000000000003	1	1	1000	1000	A	0	0	7	1
E12S200_12ecu_200signals_001	foundation	1497750269	83	1	2	0	176	66	10	10	0	0.039600000000000003	1	1	10	10	B	1	0	7	8
E12S200_12ecu_200signals_001	foundation	1497750269	83	2	2	1	177	67	10	10	3.5892000000024495	0.039600000000000003	1	1	10	10	B	1	0	7	8
E12S200_12ecu_200signals_001	foundation	1518797426	108	1	1	0	190	168	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	5	7
E12S200_12ecu_200signals_001	foundation	1579701860	191	1	1	0	129	157	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	6	10
E12S200_12ecu_200signals_001	foundation	1607224381	159	1	2	0	104	42	10	10	0	0.039600000000000003	1	1	10	10	C	2	0	5	1
E12S200_12ecu_200signals_001	foundation	1607224381	159	2	2	1	165	61	10	10	2.0052000000021621	0.039600000000000003	1	2	10	10	C	2	0	5	1
E12S200_12ecu_200signals_001	foundation	1643497279	3	1	1	0	54	140	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	6	2
E12S200_12ecu_200signals_001	foundation	1644614777	24	1	1	0	124	49	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	1	10
E12S200_12ecu_200signals_001	foundation	1649613225	179	1	1	0	59	142	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	1	3
E12S200_12ecu_200signals_001	foundation	1653548776	81	1	1	0	30	88	20	20	0	0.039600000000000003	1	2	20	20	A	0	0	2	4
E12S200_12ecu_200signals_001	foundation	1664747813	9	1	2	0	79	96	20	20	0	0.039600000000000003	1	2	20	20	C	2	0	11	10
E12S200_12ecu_200signals_001	foundation	1664747813	9	2	2	1	169	115	20	20	5.6312000000010585	0.039600000000000003	1	1	20	20	C	2	0	11	10
E12S200_12ecu_200signals_001	foundation	1676336343	196	1	2	0	24	86	20	20	0	0.039600000000000003	1	1	20	20	C	2	0	1	2
